Bib Number,Race Type,Experienced,Dog Lover
116,10.0,False,False
117,10.0,True,False
118,1.0,False,False
119,21.1,False,True
120,21.1,False,False
121,10.0,False,False
122,10.0,False,True
123,21.1,False,False
124,21.1,False,False
125,21.1,True,False
126,21.1,False,True
127,10.0,False,True
128,10.0,True,False
129,21.1,False,False
130,21.1,False,True
131,5.0,False,False
132,21.1,False,True
133,10.0,False,False
134,10.0,False,False
135,10.0,False,False
136,21.1,False,False
137,21.1,False,True
138,21.1,True,False
139,21.1,False,False
140,21.1,False,False
141,10.0,False,False
142,21.1,True,False
143,10.0,False,False
144,21.1,False,False
145,21.1,False,True
146,21.1,False,False
147,10.0,False,False
148,21.1,False,False
149,21.1,True,False
150,1.0,False,False
151,21.1,True,True
152,21.1,False,False
153,21.1,False,True
154,1.0,False,False
155,10.0,False,True
156,5.0,True,False
157,21.1,True,False
158,5.0,True,False
159,10.0,True,False
160,5.0,False,False
161,10.0,False,False
162,21.1,False,False
163,10.0,True,False
164,21.1,False,False
165,10.0,False,False
166,5.0,False,False
167,10.0,True,False
168,21.1,False,False
169,5.0,False,False
170,21.1,False,True
171,21.1,False,False
172,5.0,False,False
173,21.1,False,False
174,10.0,False,False
175,10.0,False,False
176,5.0,False,False
177,21.1,True,False
178,21.1,False,False
179,21.1,False,False
180,10.0,False,False
181,21.1,False,False
182,5.0,False,False
183,10.0,False,False
184,10.0,True,False
185,21.1,True,False
186,10.0,False,False
187,21.1,False,False
188,21.1,False,False
189,10.0,False,False
190,21.1,True,False
191,5.0,True,False
192,1.0,False,False
193,21.1,False,False
194,10.0,False,False
195,10.0,True,False
196,21.1,True,False
197,10.0,False,False
198,10.0,False,False
199,21.1,False,False
200,10.0,False,False
201,5.0,False,False
202,10.0,False,True
203,21.1,False,False
204,10.0,True,False
205,10.0,False,False
206,5.0,False,False
207,10.0,False,False
208,21.1,False,False
209,10.0,False,False
210,21.1,False,False
211,21.1,False,False
212,21.1,False,False
213,5.0,False,True
214,5.0,False,False
215,21.1,False,True
216,21.1,True,False
217,10.0,False,False
218,21.1,False,True
219,21.1,True,True
220,21.1,True,False
221,21.1,False,False
222,10.0,False,False
223,5.0,False,True
224,21.1,False,False
225,5.0,False,False
226,1.0,False,False
227,10.0,False,False
228,21.1,False,True
229,21.1,False,True
230,21.1,False,False
231,21.1,True,False
232,10.0,False,False
233,1.0,False,False
234,10.0,False,False
235,21.1,False,False
236,10.0,False,False
237,21.1,False,True
238,21.1,False,True
239,21.1,False,False
240,5.0,True,False
241,5.0,False,False
242,1.0,True,False
243,10.0,False,True
244,5.0,False,False
245,21.1,True,False
246,21.1,True,False
247,21.1,True,False
248,10.0,False,False
249,21.1,False,False
250,10.0,False,False
251,10.0,True,False
252,21.1,False,False
253,1.0,False,False
254,10.0,False,False
255,10.0,False,False
256,21.1,True,False
257,5.0,False,False
258,5.0,False,False
259,5.0,False,True
260,21.1,False,False
261,1.0,True,True
262,5.0,False,False
263,21.1,False,False
264,21.1,True,True
265,21.1,True,False
266,5.0,False,False
267,5.0,True,False
268,1.0,False,False
269,21.1,False,False
270,21.1,False,False
271,21.1,True,True
272,21.1,False,False
273,21.1,False,False
274,10.0,False,True
275,21.1,False,False
276,21.1,False,False
277,21.1,False,False
278,10.0,False,True
279,1.0,False,False
280,5.0,True,False
281,1.0,False,False
282,21.1,False,False
283,21.1,False,False
284,21.1,True,False
285,5.0,False,False
286,5.0,True,False
287,21.1,False,False
288,10.0,False,False
289,1.0,False,False
290,21.1,False,False
291,5.0,False,False
292,21.1,False,False
293,21.1,False,False
294,21.1,False,False
295,10.0,False,False
296,21.1,False,False
297,10.0,True,False
298,21.1,True,True
299,5.0,True,False
300,21.1,False,True
301,5.0,False,False
302,10.0,False,False
303,10.0,False,False
304,10.0,False,False
305,21.1,False,False
306,10.0,True,False
307,21.1,False,False
308,10.0,False,False
309,21.1,False,False
310,21.1,False,False
311,10.0,True,False
312,5.0,False,False
313,10.0,False,True
314,21.1,False,False
315,10.0,False,True
316,10.0,False,False
317,21.1,False,False
318,1.0,False,False
319,21.1,False,False
320,5.0,False,False
321,5.0,False,True
322,21.1,False,False
323,21.1,False,False
324,10.0,False,False
325,21.1,False,False
326,5.0,False,False
327,21.1,False,False
328,5.0,False,True
329,5.0,False,True
330,10.0,False,False
331,10.0,False,False
332,10.0,False,False
333,21.1,True,False
334,21.1,False,False
335,21.1,False,False
336,10.0,False,False
337,1.0,False,False
338,21.1,True,False
339,1.0,False,False
340,10.0,False,False
341,21.1,False,False
342,10.0,False,False
343,10.0,False,False
344,21.1,False,True
345,21.1,True,False
346,21.1,True,False
347,21.1,False,False
348,21.1,False,False
349,5.0,False,False
350,5.0,False,False
351,5.0,False,True
352,10.0,True,False
353,21.1,False,False
354,5.0,False,False
355,21.1,False,False
356,10.0,True,True
357,21.1,False,False
358,10.0,False,False
359,1.0,False,False
360,21.1,False,False
361,5.0,False,True
362,21.1,False,False
363,21.1,False,False
364,5.0,True,False
365,10.0,True,False
366,1.0,False,False
367,5.0,False,False
368,10.0,False,False
369,21.1,True,False
370,10.0,False,False
371,21.1,False,True
372,21.1,False,True
373,1.0,False,False
374,21.1,True,False
375,21.1,True,False
376,5.0,False,False
377,10.0,False,False
378,21.1,False,True
379,21.1,False,True
380,10.0,True,True
381,1.0,False,False
382,10.0,False,False
383,10.0,False,False
384,10.0,False,False
385,21.1,False,False
386,21.1,False,False
387,10.0,False,False
388,10.0,False,False
389,21.1,False,False
390,10.0,True,False
391,21.1,False,False
392,5.0,False,False
393,5.0,False,False
394,21.1,False,False
395,5.0,True,False
396,21.1,False,False
397,10.0,False,True
398,1.0,False,True
399,10.0,False,False
400,21.1,False,False
401,5.0,True,False
402,21.1,False,False
403,21.1,True,False
404,10.0,True,False
405,5.0,False,False
406,5.0,False,False
407,10.0,False,False
408,21.1,False,True
409,5.0,False,False
410,21.1,False,False
411,10.0,True,True
412,10.0,True,False
413,10.0,False,True
414,10.0,True,False
415,21.1,False,False
416,10.0,False,False
417,5.0,False,True
418,5.0,False,False
419,21.1,False,True
420,10.0,True,False
421,10.0,False,False
422,21.1,False,False
423,10.0,False,False
424,21.1,False,True
425,5.0,True,False
426,21.1,True,False
427,10.0,False,False
428,21.1,False,True
429,5.0,False,True
430,5.0,False,True
431,5.0,False,True
432,10.0,False,False
433,10.0,False,False
434,10.0,False,False
435,21.1,False,True
436,21.1,False,True
437,21.1,True,False
438,10.0,False,True
439,5.0,False,False
440,21.1,False,True
441,10.0,False,False
442,10.0,True,False
443,10.0,True,False
444,21.1,True,False
445,21.1,True,False
446,5.0,False,True
447,10.0,False,False
448,21.1,False,True
449,21.1,False,False
450,21.1,False,False
451,21.1,True,False
452,5.0,False,False
453,10.0,False,False
454,10.0,True,False
455,21.1,False,False
456,5.0,True,True
457,10.0,False,True
458,21.1,True,False
459,21.1,False,False
460,10.0,False,True
461,21.1,False,False
462,10.0,False,False
463,21.1,True,False
464,10.0,True,True
465,10.0,True,False
466,21.1,True,False
467,10.0,False,False
468,21.1,False,False
469,21.1,False,False
470,21.1,False,False
471,10.0,True,False
472,10.0,False,True
473,10.0,False,False
474,21.1,True,True
475,10.0,True,False
476,21.1,True,False
477,21.1,True,False
478,21.1,False,False
479,21.1,False,True
480,21.1,False,False
481,21.1,False,True
482,21.1,False,False
483,10.0,False,False
484,1.0,False,False
485,21.1,False,False
486,21.1,False,True
487,21.1,True,False
488,10.0,False,False
489,21.1,False,False
490,21.1,False,True
491,1.0,False,False
492,10.0,False,False
493,10.0,False,False
494,21.1,False,False
495,1.0,False,True
496,10.0,False,False
497,21.1,False,False
498,21.1,False,False
499,10.0,False,False
500,5.0,False,False
501,5.0,False,False
502,1.0,False,False
503,21.1,False,False
504,5.0,True,False
505,21.1,False,True
506,5.0,False,True
507,21.1,False,False
508,21.1,True,False
509,21.1,True,False
510,1.0,False,False
511,10.0,False,True
512,1.0,False,False
513,21.1,False,False
514,10.0,False,False
515,21.1,False,False
516,21.1,False,False
517,21.1,False,False
518,5.0,False,False
519,21.1,False,False
520,21.1,False,False
521,21.1,False,False
522,5.0,False,False
523,10.0,True,False
524,21.1,False,True
525,21.1,False,True
526,21.1,False,False
527,1.0,False,False
528,10.0,False,False
529,21.1,False,False
530,5.0,False,True
531,5.0,False,True
532,5.0,False,False
533,5.0,False,False
534,21.1,False,False
535,1.0,False,False
536,10.0,False,False
537,21.1,False,False
538,21.1,False,False
539,10.0,False,False
540,5.0,True,False
541,10.0,False,True
542,10.0,True,False
543,5.0,True,False
544,10.0,False,False
545,21.1,False,True
546,21.1,True,False
547,5.0,False,False
548,10.0,True,True
549,5.0,True,False
550,5.0,False,False
551,21.1,False,True
552,21.1,False,False
553,1.0,False,False
554,21.1,True,False
555,1.0,False,False
556,10.0,False,False
557,10.0,False,False
558,5.0,False,False
559,21.1,False,False
560,21.1,True,True
561,5.0,False,False
562,21.1,False,False
563,21.1,False,False
564,10.0,False,True
565,10.0,False,True
566,21.1,False,False
567,5.0,False,False
568,21.1,False,False
569,21.1,False,False
570,1.0,False,False
571,21.1,False,True
572,10.0,True,False
573,1.0,False,False
574,10.0,True,False
575,1.0,False,True
576,10.0,False,False
577,21.1,False,False
578,21.1,False,True
579,21.1,False,False
580,10.0,False,False
581,21.1,False,True
582,10.0,True,True
583,21.1,False,False
584,10.0,False,False
585,21.1,False,False
586,21.1,False,True
587,5.0,True,False
588,10.0,False,False
589,1.0,True,True
590,1.0,False,False
591,21.1,False,False
592,5.0,True,True
593,10.0,True,False
594,21.1,False,False
595,5.0,True,False
596,21.1,False,False
597,5.0,True,True
598,21.1,False,False
599,5.0,True,False
600,1.0,False,False
601,5.0,False,False
602,10.0,False,False
603,1.0,False,False
604,21.1,False,True
605,21.1,False,True
606,10.0,True,False
607,10.0,False,True
608,21.1,False,False
609,1.0,False,False
610,5.0,False,False
611,10.0,False,False
612,1.0,False,False
613,5.0,False,False
614,5.0,False,False
615,10.0,False,False
616,21.1,True,False
617,10.0,False,False
618,21.1,False,False
619,21.1,False,False
620,5.0,False,True
621,10.0,False,False
622,10.0,False,False
623,21.1,False,False
624,21.1,False,False
625,5.0,False,False
626,21.1,False,True
627,1.0,False,False
628,1.0,True,True
629,21.1,False,False
630,21.1,False,False
631,10.0,False,False
632,5.0,False,True
633,21.1,False,False
634,21.1,True,False
635,21.1,False,False
636,5.0,False,True
637,21.1,False,False
638,5.0,False,True
639,21.1,False,False
640,21.1,True,True
641,10.0,False,False
642,21.1,False,False
643,5.0,True,False
644,10.0,False,False
645,1.0,False,False
646,10.0,False,False
647,21.1,True,False
648,21.1,False,False
649,21.1,False,False
650,10.0,False,False
651,21.1,False,False
652,21.1,False,True
653,21.1,False,False
654,21.1,False,False
655,10.0,False,False
656,21.1,False,False
657,21.1,False,True
658,21.1,False,False
659,21.1,True,False
660,21.1,False,False
661,21.1,False,False
662,10.0,False,True
663,5.0,False,True
664,10.0,False,True
665,10.0,False,False
666,10.0,False,False
667,1.0,False,True
668,10.0,False,False
669,5.0,False,False
670,21.1,False,False
671,10.0,False,True
672,10.0,False,False
673,10.0,False,False
674,10.0,False,False
675,21.1,False,False
676,21.1,False,False
677,1.0,False,False
678,21.1,False,True
679,21.1,True,False
680,21.1,False,True
681,21.1,False,False
682,1.0,False,False
683,21.1,False,False
684,10.0,False,False
685,21.1,True,False
686,5.0,False,False
687,5.0,False,True
688,21.1,False,False
689,21.1,False,False
690,21.1,False,False
691,21.1,False,False
692,10.0,False,False
693,5.0,False,False
694,1.0,False,False
695,21.1,True,False
696,10.0,False,True
697,21.1,False,False
698,21.1,True,False
699,10.0,False,False
700,1.0,False,False
701,21.1,False,False
702,21.1,False,False
703,21.1,True,False
704,1.0,False,True
705,21.1,True,False
706,10.0,True,False
707,5.0,False,True
708,21.1,False,False
709,5.0,False,False
710,21.1,True,False
711,10.0,False,False
712,21.1,True,False
713,21.1,False,False
714,21.1,False,False
715,5.0,False,False
716,21.1,False,False
717,1.0,False,False
718,21.1,False,False
719,1.0,False,False
720,10.0,True,True
721,21.1,False,False
722,10.0,True,False
723,1.0,False,True
724,5.0,False,False
725,10.0,False,False
726,10.0,True,False
727,1.0,False,False
728,21.1,False,False
729,10.0,False,True
730,21.1,False,False
731,5.0,False,False
732,21.1,False,False
733,10.0,True,False
734,1.0,False,False
735,1.0,False,False
736,5.0,False,False
737,21.1,False,False
738,10.0,False,True
739,21.1,False,True
740,21.1,False,False
741,10.0,False,False
742,21.1,True,False
743,21.1,False,False
744,10.0,False,False
745,21.1,False,False
746,10.0,False,True
747,21.1,True,False
748,21.1,True,False
749,10.0,True,False
750,21.1,False,False
751,5.0,False,False
752,10.0,False,False
753,1.0,False,False
754,21.1,True,False
755,10.0,True,False
756,21.1,False,False
757,21.1,True,False
758,21.1,False,True
759,10.0,False,True
760,10.0,True,True
761,10.0,False,True
762,5.0,False,False
763,21.1,False,False
764,5.0,False,False
765,10.0,False,False
766,5.0,True,False
767,21.1,True,False
768,10.0,True,False
769,21.1,False,False
770,21.1,False,True
771,5.0,False,False
772,5.0,False,True
773,1.0,False,False
774,1.0,True,False
775,10.0,False,False
776,21.1,False,False
777,1.0,True,True
778,21.1,False,False
779,21.1,False,False
780,21.1,False,False
781,10.0,False,False
782,21.1,False,False
783,21.1,True,False
784,21.1,True,False
785,21.1,False,False
786,10.0,False,False
787,10.0,False,False
788,10.0,False,False
789,21.1,True,True
790,21.1,False,False
791,21.1,False,True
792,10.0,False,False
793,21.1,False,False
794,10.0,False,False
795,10.0,True,False
796,21.1,True,True
797,5.0,False,False
798,10.0,False,False
799,21.1,True,False
800,10.0,True,False
801,10.0,False,False
802,10.0,False,False
803,10.0,False,False
804,5.0,False,False
805,21.1,False,False
806,10.0,False,False
807,10.0,False,False
808,21.1,False,False
809,10.0,False,False
810,21.1,True,True
811,10.0,False,False
812,10.0,True,False
813,10.0,True,True
814,21.1,False,False
815,10.0,False,False
816,10.0,True,False
817,21.1,False,False
818,21.1,True,False
819,10.0,True,False
820,21.1,False,True
821,10.0,False,True
822,10.0,True,False
823,21.1,False,False
824,21.1,False,False
825,10.0,False,False
826,5.0,False,False
827,1.0,False,False
828,10.0,False,False
829,21.1,False,False
830,21.1,True,False
831,10.0,True,True
832,21.1,False,False
833,21.1,False,False
834,21.1,True,True
835,21.1,False,False
836,21.1,False,False
837,10.0,False,False
838,21.1,False,False
839,21.1,False,False
840,10.0,False,True
841,21.1,False,False
842,5.0,False,False
843,10.0,False,True
844,21.1,False,False
845,10.0,False,False
846,21.1,False,False
847,21.1,False,False
848,1.0,False,False
849,21.1,True,False
850,5.0,False,True
851,10.0,False,False
852,21.1,False,False
853,21.1,True,True
854,10.0,False,False
855,1.0,False,False
856,5.0,False,False
857,1.0,False,False
858,10.0,False,False
859,10.0,False,True
860,5.0,False,False
861,10.0,False,True
862,21.1,False,False
863,21.1,True,False
864,1.0,False,False
865,10.0,True,True
866,10.0,False,True
867,21.1,True,False
868,21.1,False,False
869,10.0,True,False
870,21.1,False,True
871,10.0,False,False
872,10.0,False,False
873,1.0,False,False
874,10.0,False,False
875,21.1,False,False
876,5.0,False,True
877,21.1,True,False
878,10.0,True,False
879,21.1,False,False
880,10.0,False,True
881,1.0,False,False
882,1.0,True,False
883,10.0,False,False
884,5.0,False,False
885,10.0,False,False
886,21.1,False,False
887,10.0,False,False
888,5.0,False,False
889,10.0,False,False
890,10.0,False,False
891,21.1,False,False
892,10.0,False,False
893,10.0,True,False
894,21.1,False,True
895,1.0,False,True
896,21.1,False,False
897,5.0,True,False
898,5.0,False,True
899,5.0,False,False
900,10.0,False,False
901,21.1,True,False
902,21.1,True,True
903,10.0,False,True
904,21.1,False,True
905,10.0,False,False
906,21.1,False,True
907,21.1,True,True
908,10.0,True,False
909,5.0,False,False
910,21.1,False,True
911,10.0,False,False
912,21.1,True,True
913,21.1,True,False
914,21.1,True,True
915,21.1,False,False
916,21.1,True,False
917,10.0,False,False
918,10.0,True,False
919,10.0,True,False
920,21.1,False,False
921,1.0,True,True
922,5.0,True,False
923,1.0,False,False
924,10.0,False,False
925,21.1,False,True
926,21.1,False,False
927,21.1,False,False
928,5.0,False,True
929,21.1,False,False
930,21.1,False,False
931,5.0,False,False
932,10.0,True,False
933,10.0,False,False
934,10.0,False,False
935,10.0,False,False
936,10.0,False,False
937,10.0,False,False
938,5.0,False,False
939,5.0,False,False
940,10.0,False,False
941,10.0,False,False
942,1.0,False,False
943,10.0,True,False
944,10.0,False,True
945,10.0,False,False
946,21.1,False,False
947,21.1,False,False
948,10.0,False,False
949,10.0,False,False
950,5.0,False,True
951,5.0,False,False
952,21.1,False,False
953,21.1,True,False
954,10.0,True,False
955,5.0,False,True
956,21.1,False,False
957,5.0,False,False
958,21.1,False,False
959,21.1,True,False
960,1.0,False,False
961,21.1,True,False
962,5.0,False,False
963,1.0,True,False
964,21.1,True,False
965,10.0,False,False
966,1.0,False,True
967,10.0,False,False
968,21.1,False,True
969,1.0,False,True
970,5.0,False,False
971,1.0,False,False
972,10.0,True,False
973,10.0,False,False
974,21.1,False,False
975,10.0,False,False
976,5.0,True,False
977,5.0,False,False
978,1.0,False,True
979,5.0,False,False
980,5.0,False,True
981,10.0,False,False
982,10.0,False,True
983,10.0,True,True
984,5.0,False,False
985,10.0,False,False
986,10.0,True,True
987,21.1,False,False
988,21.1,False,False
989,10.0,False,False
990,21.1,False,False
991,21.1,True,False
992,10.0,False,False
993,10.0,False,False
994,21.1,False,False
995,5.0,False,False
996,1.0,False,False
997,21.1,True,False
998,21.1,False,True
999,10.0,False,True
1000,5.0,False,True
1001,10.0,False,False
1002,10.0,False,True
1003,21.1,False,False
1004,10.0,True,False
1005,21.1,False,False
1006,21.1,False,False
1007,10.0,False,False
1008,10.0,False,False
1009,21.1,False,False
1010,21.1,False,False
1011,10.0,False,False
1012,21.1,False,True
1013,1.0,True,False
1014,10.0,False,True
1015,10.0,False,False
1016,1.0,True,False
1017,10.0,False,False
1018,21.1,False,False
1019,21.1,False,True
1020,21.1,True,False
1021,10.0,False,False
1022,21.1,True,True
1023,10.0,False,False
1024,21.1,False,False
1025,10.0,False,False
1026,10.0,False,False
1027,21.1,False,False
1028,5.0,False,False
1029,21.1,False,False
1030,21.1,False,False
1031,21.1,True,False
1032,5.0,False,False
1033,5.0,False,False
1034,21.1,True,False
1035,21.1,True,False
1036,5.0,False,False
1037,21.1,False,False
1038,1.0,False,False
1039,21.1,False,False
1040,21.1,True,False
1041,1.0,False,False
1042,21.1,True,False
1043,10.0,False,True
1044,21.1,False,False
1045,21.1,False,False
1046,21.1,True,False
1047,21.1,True,False
1048,21.1,True,False
1049,10.0,True,True
1050,1.0,False,False
1051,21.1,True,False
1052,21.1,False,False
1053,5.0,False,True
1054,21.1,False,False
1055,1.0,False,True
1056,21.1,False,False
1057,5.0,True,False
1058,1.0,True,False
1059,21.1,True,True
1060,1.0,True,False
1061,21.1,False,False
1062,21.1,True,True
1063,10.0,False,False
1064,21.1,False,False
1065,21.1,True,False
1066,21.1,True,False
1067,21.1,False,False
1068,21.1,True,False
1069,21.1,False,True
1070,5.0,True,False
1071,10.0,False,True
1072,21.1,False,False
1073,21.1,True,True
1074,1.0,False,False
1075,5.0,True,False
1076,21.1,False,False
1077,21.1,False,False
1078,5.0,False,False
1079,5.0,False,False
1080,21.1,False,False
1081,5.0,False,False
1082,10.0,False,False
1083,5.0,True,False
1084,21.1,False,False
1085,21.1,True,False
1086,21.1,False,False
1087,21.1,False,True
1088,21.1,False,False
1089,10.0,False,True
1090,10.0,True,False
1091,10.0,False,False
1092,21.1,False,False
1093,21.1,False,False
1094,21.1,False,False
1095,21.1,False,False
1096,21.1,False,False
1097,21.1,True,True
1098,5.0,False,False
1099,21.1,False,False
1100,21.1,True,False
1101,5.0,False,False
1102,21.1,True,False
1103,10.0,False,False
1104,21.1,False,False
1105,10.0,False,False
1106,10.0,False,False
1107,21.1,False,True
1108,5.0,False,False
1109,10.0,True,False
1110,1.0,False,False
1111,10.0,False,False
1112,21.1,False,False
1113,5.0,False,False
1114,21.1,False,True
1115,21.1,False,True
1116,21.1,False,True
1117,5.0,False,False
1118,10.0,False,False
1119,10.0,False,False
1120,21.1,False,False
1121,5.0,False,False
1122,21.1,True,True
1123,10.0,False,True
1124,21.1,False,False
1125,21.1,False,False
1126,10.0,False,True
1127,10.0,True,False
1128,1.0,True,True
1129,21.1,False,False
1130,10.0,False,False
1131,10.0,False,False
1132,5.0,False,False
1133,10.0,False,False
1134,10.0,True,False
1135,10.0,False,False
1136,21.1,False,False
1137,21.1,True,False
1138,10.0,False,False
1139,21.1,False,True
1140,21.1,False,False
1141,21.1,False,False
1142,10.0,True,False
1143,1.0,False,True
1144,5.0,False,False
1145,10.0,False,False
1146,5.0,True,False
1147,10.0,True,False
1148,5.0,False,False
1149,21.1,False,False
1150,21.1,False,False
1151,21.1,False,False
1152,21.1,False,False
1153,21.1,False,False
1154,21.1,False,False
1155,10.0,False,True
1156,21.1,False,False
1157,10.0,False,False
1158,10.0,False,False
1159,21.1,False,False
1160,21.1,True,False
1161,5.0,False,False
1162,21.1,True,False
1163,10.0,False,False
1164,21.1,False,False
1165,21.1,False,False
1166,10.0,True,False
1167,1.0,True,False
1168,10.0,True,False
1169,21.1,False,False
1170,21.1,False,False
1171,1.0,False,False
1172,21.1,False,False
1173,10.0,True,False
1174,10.0,False,False
1175,5.0,False,False
1176,21.1,True,False
1177,10.0,False,True
1178,10.0,False,True
1179,10.0,False,False
1180,21.1,True,False
1181,10.0,False,False
1182,21.1,False,False
1183,21.1,False,False
1184,21.1,False,True
1185,21.1,True,False
1186,5.0,False,False
1187,21.1,False,True
1188,21.1,False,False
1189,21.1,True,False
1190,10.0,False,False
1191,10.0,False,False
1192,21.1,False,True
1193,5.0,False,False
1194,21.1,False,False
1195,1.0,False,True
1196,21.1,False,False
1197,21.1,False,False
1198,21.1,False,False
1199,10.0,False,False
1200,10.0,True,True
1201,10.0,True,False
1202,21.1,True,True
1203,21.1,True,False
1204,21.1,False,False
1205,21.1,False,False
1206,5.0,False,False
1207,5.0,False,False
1208,21.1,False,False
1209,5.0,False,False
1210,1.0,False,False
1211,5.0,False,True
1212,21.1,False,False
1213,10.0,False,True
1214,5.0,False,False
1215,1.0,False,False
1216,21.1,False,False
1217,5.0,False,True
1218,10.0,True,True
1219,21.1,False,False
1220,1.0,True,False
1221,1.0,False,True
1222,10.0,False,False
1223,21.1,False,False
1224,10.0,False,False
1225,10.0,True,False
1226,10.0,False,False
1227,5.0,False,False
1228,10.0,False,False
1229,21.1,True,False
1230,21.1,False,False
1231,10.0,False,False
1232,21.1,True,False
1233,10.0,False,True
1234,10.0,False,True
1235,10.0,True,True
1236,21.1,False,True
1237,21.1,False,False
1238,21.1,False,False
1239,10.0,False,False
1240,10.0,False,False
1241,5.0,False,False
1242,10.0,False,False
1243,21.1,False,False
1244,21.1,False,False
1245,5.0,False,False
1246,21.1,False,False
1247,10.0,False,False
1248,21.1,False,False
1249,10.0,False,False
1250,1.0,True,False
1251,21.1,True,False
1252,21.1,False,True
1253,21.1,False,False
1254,21.1,False,True
1255,10.0,False,False
1256,21.1,True,False
1257,1.0,False,False
1258,5.0,False,True
1259,21.1,False,True
1260,10.0,False,True
1261,21.1,False,False
1262,1.0,False,False
1263,21.1,False,False
1264,5.0,False,True
1265,10.0,False,True
1266,21.1,False,False
1267,5.0,False,False
1268,10.0,False,False
1269,21.1,False,False
1270,1.0,False,False
1271,21.1,False,False
1272,10.0,False,False
1273,21.1,False,False
1274,21.1,True,False
1275,10.0,True,True
1276,21.1,False,False
1277,5.0,False,True
1278,21.1,False,False
1279,1.0,False,False
1280,10.0,False,False
1281,21.1,False,False
1282,10.0,True,False
1283,21.1,False,True
1284,10.0,True,False
1285,10.0,False,False
1286,21.1,True,False
1287,21.1,False,False
1288,5.0,False,False
1289,21.1,False,False
1290,21.1,True,False
1291,10.0,False,False
1292,21.1,False,False
1293,10.0,False,True
1294,21.1,False,True
1295,21.1,False,False
1296,21.1,False,False
1297,21.1,False,True
1298,21.1,False,False
1299,10.0,True,False
1300,21.1,False,False
1301,10.0,True,False
1302,10.0,False,False
1303,10.0,True,False
1304,21.1,False,False
1305,1.0,False,False
1306,21.1,False,False
1307,21.1,False,False
1308,10.0,True,False
1309,21.1,False,True
1310,10.0,False,False
1311,1.0,False,False
1312,5.0,False,False
1313,21.1,True,False
1314,10.0,True,False
1315,5.0,False,False
1316,10.0,False,False
1317,21.1,True,False
1318,21.1,True,False
1319,21.1,False,False
1320,21.1,False,True
1321,21.1,True,False
1322,5.0,False,False
1323,21.1,False,False
1324,21.1,False,False
1325,21.1,False,False
1326,10.0,False,False
1327,21.1,False,False
1328,10.0,False,False
1329,21.1,True,False
1330,10.0,True,False
1331,21.1,False,False
1332,21.1,False,False
1333,21.1,False,False
1334,5.0,False,False
1335,21.1,False,False
1336,1.0,True,False
1337,10.0,False,False
1338,10.0,False,False
1339,21.1,False,False
1340,21.1,False,False
1341,10.0,False,True
1342,21.1,False,True
1343,10.0,False,False
1344,21.1,False,False
1345,1.0,True,True
1346,21.1,True,False
1347,10.0,False,False
1348,21.1,False,False
1349,1.0,False,False
1350,21.1,False,False
1351,5.0,False,False
1352,5.0,False,False
1353,21.1,False,False
1354,10.0,False,False
1355,21.1,False,False
1356,5.0,False,False
1357,10.0,False,True
1358,21.1,False,False
1359,1.0,True,False
